	X.X	Y.Y
('C-44230_BALBc-1_X01_Y01_320_524', 'Cell Type: B cells')	320	1476
('C-44536_BALBc-1_X01_Y01_324_441', 'Cell Type: B cells')	324	1559
('C-44775_BALBc-1_X01_Y01_327_457', 'Cell Type: B cells')	327	1543
('C-45547_BALBc-1_X01_Y01_336_358', 'Cell Type: B cells')	336	1642
('C-45620_BALBc-1_X01_Y01_337_515', 'Cell Type: B cells')	337	1485
('C-45792_BALBc-1_X01_Y01_339_781', 'Cell Type: B cells')	339	1219
('C-46150_BALBc-1_X01_Y01_343_551', 'Cell Type: B cells')	343	1449
('C-46164_BALBc-1_X01_Y01_343_747', 'Cell Type: B cells')	343	1253
('C-46255_BALBc-1_X01_Y01_344_899', 'Cell Type: B cells')	344	1101
('C-46297_BALBc-1_X01_Y01_345_451', 'Cell Type: B cells')	345	1549
('C-46315_BALBc-1_X01_Y01_345_681', 'Cell Type: B cells')	345	1319
('C-46829_BALBc-1_X01_Y01_351_348', 'Cell Type: B cells')	351	1652
('C-46843_BALBc-1_X01_Y01_351_600', 'Cell Type: B cells')	351	1400
('C-46930_BALBc-1_X01_Y01_352_655', 'Cell Type: B cells')	352	1345
('C-47025_BALBc-1_X01_Y01_353_977', 'Cell Type: B cells')	353	1023
('C-47116_BALBc-1_X01_Y01_355_165', 'Cell Type: B cells')	355	1835
('C-47124_BALBc-1_X01_Y01_355_25', 'Cell Type: B cells')	355	1975
('C-47290_BALBc-1_X01_Y01_357_393', 'Cell Type: B cells')	357	1607
('C-48026_BALBc-1_X01_Y01_366_429', 'Cell Type: B cells')	366	1571
('C-48028_BALBc-1_X01_Y01_366_461', 'Cell Type: B cells')	366	1539
('C-48335_BALBc-1_X01_Y01_37_313', 'Cell Type: B cells')	37	1687
('C-48557_BALBc-1_X01_Y01_372_492', 'Cell Type: B cells')	372	1508
('C-48582_BALBc-1_X01_Y01_372_692', 'Cell Type: B cells')	372	1308
('C-48853_BALBc-1_X01_Y01_376_314', 'Cell Type: B cells')	376	1686
('C-49055_BALBc-1_X01_Y01_378_862', 'Cell Type: B cells')	378	1138
('C-49397_BALBc-1_X01_Y01_382_422', 'Cell Type: B cells')	382	1578
('C-49496_BALBc-1_X01_Y01_383_563', 'Cell Type: B cells')	383	1437
('C-50108_BALBc-1_X01_Y01_390_456', 'Cell Type: B cells')	390	1544
('C-50236_BALBc-1_X01_Y01_392_183', 'Cell Type: B cells')	392	1817
('C-50329_BALBc-1_X01_Y01_393_436', 'Cell Type: B cells')	393	1564
('C-50622_BALBc-1_X01_Y01_397_212', 'Cell Type: B cells')	397	1788
('C-50633_BALBc-1_X01_Y01_397_371', 'Cell Type: B cells')	397	1629
('C-50940_BALBc-1_X01_Y01_40_516', 'Cell Type: B cells')	40	1484
('C-50944_BALBc-1_X01_Y01_40_562', 'Cell Type: B cells')	40	1438
('C-51105_BALBc-1_X01_Y01_401_748', 'Cell Type: B cells')	401	1252
('C-51247_BALBc-1_X01_Y01_403_851', 'Cell Type: B cells')	403	1149
('C-51412_BALBc-1_X01_Y01_405_776', 'Cell Type: B cells')	405	1224
('C-51444_BALBc-1_X01_Y01_406_240', 'Cell Type: B cells')	406	1760
('C-51463_BALBc-1_X01_Y01_406_433', 'Cell Type: B cells')	406	1567
('C-51525_BALBc-1_X01_Y01_407_279', 'Cell Type: B cells')	407	1721
('C-51947_BALBc-1_X01_Y01_411_566', 'Cell Type: B cells')	411	1434
