,tissue,histology,sub-histology,gender,Custom
CORL88,lung,carcinoma,small_cell_carcinoma,M,Unknown
CORL95,lung,carcinoma,small_cell_carcinoma,M,Unknown
PECAPJ49,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
PECAPJ34CLONEC12,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
CORL51,lung,carcinoma,small_cell_carcinoma,M,Unknown
RT11284,urinary_tract,carcinoma,NS,F,Unknown
PECAPJ41CLONED2,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,F,Unknown
OV7,ovary,carcinoma,NS,F,Unknown
HT55,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
OAW42,ovary,carcinoma,NS,F,Unknown
MDST8,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
OAW28,ovary,carcinoma,NS,F,Unknown
SUIT2,pancreas,carcinoma,ductal_carcinoma,M,Unknown
LC1SQSF,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
KASUMI1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
SUPM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,F,Unknown
SKHEP1,liver,carcinoma,adenocarcinoma,M,Unknown
OVCAR8,ovary,carcinoma,NS,F,Unknown
NCIH2172,lung,carcinoma,non_small_cell_carcinoma,F,Unknown
ISHIKAWAHERAKLIO02ER,endometrium,carcinoma,adenocarcinoma,F,Unknown
NCIH596,lung,carcinoma,mixed_adenosquamous_carcinoma,M,Unknown
NCIH650,lung,carcinoma,bronchioloalveolar_adenocarcinoma,M,Unknown
SW1573,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
OVMANA,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
